Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.044316,28.415,33.366,1.233,8.378,30.288
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.073792,29.476,33.339,1.427,8.530,34.151
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.099855,26.062,33.464,1.233,8.672,41.552
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.129081,29.226,16.667,1.156,8.016,28.993
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.174196,45.115,50.087,0.315,3.346,33.964
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.209478,35.282,33.370,3.905,7.737,32.052
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.249337,39.859,33.292,3.892,7.891,25.485
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.278581,29.244,33.435,1.554,8.181,29.676
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.323498,44.917,50.073,3.504,8.240,34.831
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.364580,41.082,33.368,3.615,8.631,27.118
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.404989,40.409,49.918,1.931,8.587,36.627
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.435936,30.947,33.433,1.279,8.850,39.112
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.464939,29.002,16.699,2.585,8.497,26.810
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.503973,39.035,50.038,4.915,8.298,37.813
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.543382,39.409,33.386,2.985,9.164,31.790
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.579099,35.717,33.379,3.104,8.313,29.452
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.622396,43.297,50.008,1.982,8.181,36.163
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.654911,32.515,33.331,1.979,8.215,36.979
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.689148,34.237,33.357,2.002,8.221,36.098
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.703010,13.862,16.669,2.278,7.668,38.905
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.708579,5.568,0.002,2.209,10.410,33.339
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.719395,10.817,16.662,1.307,8.127,39.184
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.725037,5.642,0.001,2.617,10.792,33.544
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.730874,5.837,16.727,5.106,13.502,44.434
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.738331,7.458,0.002,6.158,14.692,36.978
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.746582,8.251,16.658,6.542,15.240,45.385
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.758040,11.458,0.001,3.895,12.242,33.929
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.764386,6.346,16.710,6.078,14.571,44.292
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.772737,8.351,0.002,6.349,14.550,35.943
dota2.exe,7068,0x000001E9D5858958,D3D9,-1,0,0,Composed: Flip,0,0.781188,8.451,16.644,6.226,14.615,44.136
