Frame, Time (ms)
    1,     0.000
    2,     3.751
    3,    13.704
    4,    29.492
    5,    35.017
    6,    44.233
    7,    51.924
    8,    67.770
    9,    73.259
   10,    82.478
   11,    97.739
   12,   103.388
   13,   112.684
   14,   128.382
   15,   134.189
   16,   143.671
   17,   152.349
   18,   166.428
   19,   172.390
   20,   181.918
   21,   196.774
   22,   202.572
   23,   212.351
   24,   220.591
   25,   234.612
   26,   239.873
   27,   249.751
   28,   263.723
   29,   269.444
   30,   278.599
   31,   287.997
   32,   302.462
   33,   308.302
   34,   317.190
   35,   332.500
   36,   338.049
   37,   346.801
   38,   362.297
   39,   368.006
   40,   378.846
   41,   387.005
   42,   402.173
   43,   408.517
   44,   416.484
   45,   430.262
   46,   435.414
   47,   443.965
   48,   452.411
   49,   467.825
   50,   472.789
   51,   482.829
   52,   498.716
   53,   502.599
   54,   512.201
   55,   520.167
   56,   537.693
   57,   541.515
   58,   550.352
   59,   567.045
   60,   572.802
   61,   582.293
   62,   597.544
   63,   603.164
   64,   612.895
   65,   627.731
   66,   633.447
   67,   641.857
   68,   651.653
   69,   667.320
   70,   673.849
   71,   681.512
   72,   698.601
   73,   703.925
   74,   713.956
   75,   728.701
   76,   734.255
   77,   743.216
   78,   752.297
   79,   768.228
   80,   773.549
   81,   782.458
   82,   800.126
   83,   804.172
   84,   813.559
   85,   828.228
   86,   833.954
   87,   842.320
   88,   851.252
   89,   866.332
   90,   872.656
   91,   880.326
   92,   896.670
   93,   902.364
   94,   911.704
   95,   919.955
   96,   936.473
   97,   941.781
   98,   951.023
   99,   965.257
  100,   970.864
  101,   979.883
  102,   994.508
  103,  1000.568
  104,  1009.309
  105,  1018.470
  106,  1034.034
  107,  1038.421
  108,  1047.524
  109,  1063.833
  110,  1068.884
  111,  1077.961
  112,  1087.224
  113,  1102.575
  114,  1108.189
  115,  1116.841
  116,  1134.142
  117,  1138.604
  118,  1147.502
  119,  1162.357
  120,  1167.602
  121,  1176.453
  122,  1185.460
  123,  1199.810
  124,  1206.137
  125,  1213.948
  126,  1230.199
  127,  1235.999
  128,  1245.064
  129,  1253.914
  130,  1267.978
  131,  1273.436
  132,  1282.335
  133,  1299.544
  134,  1306.456
  135,  1314.901
  136,  1330.577
  137,  1336.637
  138,  1345.537
  139,  1353.243
  140,  1368.783
  141,  1374.156
  142,  1383.213
  143,  1399.372
  144,  1404.914
  145,  1413.696
  146,  1429.645
  147,  1435.604
  148,  1443.383
  149,  1452.931
  150,  1467.917
  151,  1473.174
  152,  1481.746
  153,  1498.405
  154,  1501.970
  155,  1511.352
  156,  1519.676
  157,  1535.302
  158,  1540.494
  159,  1549.551
  160,  1566.664
  161,  1571.430
  162,  1580.454
  163,  1596.178
  164,  1601.278
  165,  1609.779
  166,  1618.928
  167,  1633.346
  168,  1638.607
  169,  1647.286
  170,  1662.601
  171,  1668.169
  172,  1677.792
  173,  1686.520
  174,  1701.399
  175,  1706.314
  176,  1715.678
  177,  1732.629
  178,  1736.517
  179,  1745.411
  180,  1760.422
  181,  1765.749
  182,  1774.968
  183,  1783.293
  184,  1799.238
  185,  1804.492
  186,  1813.759
  187,  1829.147
  188,  1834.530
  189,  1844.748
  190,  1851.015
  191,  1867.726
  192,  1873.199
  193,  1881.798
  194,  1900.635
  195,  1905.272
  196,  1912.960
  197,  1930.093
  198,  1935.933
  199,  1946.118
  200,  1955.849
  201,  1968.894
  202,  1974.326
  203,  1983.838
  204,  1998.283
  205,  2004.094
  206,  2012.806
  207,  2028.184
  208,  2033.207
  209,  2043.180
  210,  2050.915
  211,  2065.033
  212,  2071.259
  213,  2078.896
  214,  2095.153
  215,  2100.412
  216,  2109.608
  217,  2117.064
  218,  2132.973
  219,  2138.310
  220,  2147.538
  221,  2164.360
  222,  2169.385
  223,  2178.190
  224,  2187.555
  225,  2202.424
  226,  2207.749
  227,  2217.670
  228,  2232.529
  229,  2237.800
  230,  2247.811
  231,  2263.364
  232,  2268.667
  233,  2277.852
  234,  2287.456
  235,  2302.003
  236,  2308.057
  237,  2317.530
  238,  2335.011
  239,  2338.807
  240,  2347.601
  241,  2363.950
  242,  2369.081
  243,  2377.769
  244,  2386.493
  245,  2401.817
  246,  2407.024
  247,  2415.941
