Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.056732,34.299,33.374,0.000,0.010,30.808
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.091421,34.689,33.363,0.000,0.009,29.483
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.125101,33.680,33.368,0.000,0.010,29.171
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.158546,33.445,33.363,0.000,0.010,29.089
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.190669,32.124,33.370,0.000,0.010,30.334
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.224221,33.551,33.373,0.000,0.010,30.156
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.257423,33.202,33.357,0.000,0.009,30.311
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.292260,34.837,33.366,0.000,0.009,28.840
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.326694,34.435,33.378,0.000,0.010,27.783
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.357655,30.961,33.389,0.000,0.009,30.212
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.391662,34.007,33.338,0.000,0.010,29.544
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.424280,32.619,33.367,0.000,0.010,30.292
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.455944,31.664,33.371,0.000,0.011,31.999
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.488747,32.803,33.380,0.000,0.018,32.576
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.521941,33.194,33.364,0.000,0.009,32.747
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.554087,32.146,33.347,0.000,0.009,33.948
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.587892,33.804,33.368,0.000,0.009,33.511
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.622174,34.283,33.365,0.000,0.019,32.593
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.655109,32.935,33.393,0.000,0.010,33.052
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.689212,34.103,33.341,0.000,0.009,32.290
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.722224,33.012,33.364,0.000,0.009,32.642
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.754833,32.609,33.407,0.000,0.052,33.440
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.789176,34.344,33.337,0.000,0.009,32.433
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.823273,34.096,33.382,0.000,0.009,31.718
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.856067,32.794,33.362,0.000,0.005,32.286
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.888990,32.922,33.372,0.000,0.010,32.736
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.922187,33.197,33.351,0.000,0.009,32.889
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.956210,34.022,33.386,0.000,0.010,32.253
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,0.988087,31.878,33.358,0.000,0.010,33.733
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.020982,32.895,16.713,0.000,0.010,17.551
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.053340,32.358,33.339,0.000,0.009,18.533
dota2.exe,7124,0x0000000000000000,Other,-1,0,0,Composed: Copy with CPU GDI,0,1.087651,34.312,50.068,0.000,0.010,34.289
